10-11 03:45:25.007: D/Rosário.MainActivity(1322): index_dia_semana: 5
10-11 03:45:25.067: I/dalvikvm(1322): Could not find method com.actionbarsherlock.internal.nineoldandroids.widget.NineFrameLayout.onHoverEvent, referenced from method com.actionbarsherlock.internal.widget.ActionBarContainer.onHoverEvent
10-11 03:45:25.067: W/dalvikvm(1322): VFY: unable to resolve virtual method 4255: Lcom/actionbarsherlock/internal/nineoldandroids/widget/NineFrameLayout;.onHoverEvent (Landroid/view/MotionEvent;)Z
10-11 03:45:25.067: D/dalvikvm(1322): VFY: replacing opcode 0x6f at 0x0000
10-11 03:45:25.117: I/dalvikvm(1322): Could not find method com.actionbarsherlock.internal.widget.ActionBarView$HomeView.onHoverEvent, referenced from method com.actionbarsherlock.internal.widget.ActionBarView$HomeView.dispatchHoverEvent
10-11 03:45:25.117: W/dalvikvm(1322): VFY: unable to resolve virtual method 5115: Lcom/actionbarsherlock/internal/widget/ActionBarView$HomeView;.onHoverEvent (Landroid/view/MotionEvent;)Z
10-11 03:45:25.117: D/dalvikvm(1322): VFY: replacing opcode 0x6e at 0x0000
10-11 03:45:25.128: I/dalvikvm(1322): Could not find method android.widget.FrameLayout.onPopulateAccessibilityEvent, referenced from method com.actionbarsherlock.internal.widget.ActionBarView$HomeView.onPopulateAccessibilityEvent
10-11 03:45:25.128: W/dalvikvm(1322): VFY: unable to resolve virtual method 3023: Landroid/widget/FrameLayout;.onPopulateAccessibilityEvent (Landroid/view/accessibility/AccessibilityEvent;)V
10-11 03:45:25.128: D/dalvikvm(1322): VFY: replacing opcode 0x6f at 0x0006
10-11 03:45:25.228: D/AndroidRuntime(1322): Shutting down VM
10-11 03:45:25.228: W/dalvikvm(1322): threadid=1: thread exiting with uncaught exception (group=0x40014760)
10-11 03:45:25.238: E/AndroidRuntime(1322): FATAL EXCEPTION: main
10-11 03:45:25.238: E/AndroidRuntime(1322): java.lang.RuntimeException: Unable to start activity ComponentInfo{pt.carlos.alex.rosario/pt.carlos.alex.rosario.MainActivity_}: android.view.InflateException: Binary XML file line #18: Error inflating class fragment
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1748)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1764)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.ActivityThread.access$1500(ActivityThread.java:122)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1002)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.os.Handler.dispatchMessage(Handler.java:99)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.os.Looper.loop(Looper.java:132)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.ActivityThread.main(ActivityThread.java:4025)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at java.lang.reflect.Method.invokeNative(Native Method)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at java.lang.reflect.Method.invoke(Method.java:491)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:841)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:599)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at dalvik.system.NativeStart.main(Native Method)
10-11 03:45:25.238: E/AndroidRuntime(1322): Caused by: android.view.InflateException: Binary XML file line #18: Error inflating class fragment
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.view.LayoutInflater.createViewFromTag(LayoutInflater.java:688)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.view.LayoutInflater.rInflate(LayoutInflater.java:724)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.view.LayoutInflater.inflate(LayoutInflater.java:479)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.view.LayoutInflater.inflate(LayoutInflater.java:391)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.view.LayoutInflater.inflate(LayoutInflater.java:347)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at com.actionbarsherlock.internal.ActionBarSherlockCompat.setContentView(ActionBarSherlockCompat.java:857)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at com.actionbarsherlock.app.SherlockFragmentActivity.setContentView(SherlockFragmentActivity.java:251)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at pt.carlos.alex.rosario.MainActivity_.setContentView(MainActivity_.java:44)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at pt.carlos.alex.rosario.MainActivity_.onCreate(MainActivity_.java:30)
10-11 03:45:25.238: E/AndroidRuntime(1322): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1048)
